record_id,product_name,category,actual_price_num,discount_amount,discount_percent_calc,rating,rating_count
419,"boAt Micro USB 55 Tangle-free, Sturdy Micro USB Cable with 3A Fast Charging & 480mbps Data Transmission (Black)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,499.0,176.63,64.6,4.1,"15,189"
420,"Samsung Galaxy M13 (Midnight Blue, 4GB, 64GB Storage) | 6000mAh Battery | Upto 8GB RAM with RAM Plus",Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones,14999.0,10999.0,26.67,4.1,"18,998"
421,"boAt Xtend Smartwatch with Alexa Built-in, 1.69” HD Display, Multiple Watch Faces, Stress Monitor, Heart & SpO2 Monitoring, 14 Sports Modes, Sleep Monitor, 5 ATM & 7 Days Battery(Pitch Black)",Electronics|WearableTechnology|SmartWatches,7990.0,2999.0,62.47,4.1,"48,449"
422,"boAt Wave Call Smart Watch, Smart Talk with Advanced Dedicated Bluetooth Calling Chip, 1.69” HD Display with 550 NITS & 70% Color Gamut, 150+ Watch Faces, Multi-Sport Modes, HR, SpO2, IP68(Deep Blue)",Electronics|WearableTechnology|SmartWatches,7990.0,1999.0,74.98,3.8,"17,831"
423,MI Usb Type-C Cable Smartphone (Black),Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,299.0,229.0,23.41,4.3,"30,411"
424,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Micro USB Cable for Smartphones, Tablets, Laptops & Other Micro USB Devices, 480Mbps Data Sync, Quick Charge 3.0 (RCM15, Black)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,299.0,199.0,33.44,4.0,"43,994"
425,MI Xiaomi 22.5W Fast USB Type C Charger Combo for Tablets - White,Electronics|Mobiles&Accessories|MobileAccessories|Chargers|WallChargers,999.0,649.0,35.04,4.2,"1,315"
426,"Samsung Galaxy M13 5G (Aqua Green, 6GB, 128GB Storage) | 5000mAh Battery | Upto 12GB RAM with RAM Plus",Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones,19499.0,13999.0,28.21,4.1,"18,998"
427,"Gizga Essentials Spiral Cable Protector Cord Saver for Mac Charger, iPhone Charger, Wire Protector, Lightweight Durable Flexible Wire Winder for Charging Cables, Data Cables, Earphones, Pack of 10",Electronics|Mobiles&Accessories|MobileAccessories|Décor,299.0,119.0,60.2,4.1,"5,999"
428,"Redmi Note 11 (Space Black, 4GB RAM, 64GB Storage)|90Hz FHD+ AMOLED Display | Qualcomm® Snapdragon™ 680-6nm | 33W Charger Included",Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones,17999.0,12999.0,27.78,4.1,"50,772"
429,Portronics Konnect L POR-1081 Fast Charging 3A Type-C Cable 1.2Meter with Charge & Sync Function for All Type-C Devices (Grey),Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,339.0,154.0,54.57,4.3,"13,391"
